problem_id,model,prompt_type,difficulty,generator,is_correct,binary_accuracy,progress_score,valid_steps_ratio,composite_score,initial_length,final_length,valid_steps,total_steps,solution_length,optimal_length
023,LLaMA 3.3 70B,Role-Classify,hard,backward_7,False,0.0,0.5263157894736843,0.75,0.24407894736842106,19,9,3,4,4,7
024,LLaMA 3.3 70B,Role-Classify,hard,backward_7,False,0.0,0.6190476190476191,0.8333333333333334,0.27976190476190477,21,8,5,6,6,7
027,LLaMA 3.3 70B,Role-Classify,hard,backward_7,False,0.0,0.7391304347826086,1.0,0.33478260869565213,23,6,5,5,5,7
032,LLaMA 3.3 70B,Role-Classify,hard,backward_7,True,1.0,1.0,0.25,0.8125,20,0,7,28,28,7
036,LLaMA 3.3 70B,Role-Classify,hard,backward_7,True,1.0,1.0,0.16666666666666666,0.7916666666666667,20,0,7,42,42,7
038,LLaMA 3.3 70B,Role-Classify,hard,backward_7,True,1.0,1.0,0.7777777777777778,0.9444444444444444,19,0,7,9,9,7
041,LLaMA 3.3 70B,Role-Classify,hard,backward_7,False,0.0,0.8571428571428572,1.0,0.3642857142857143,21,3,6,6,6,7
045,LLaMA 3.3 70B,Role-Classify,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
046,LLaMA 3.3 70B,Role-Classify,medium,backward_3,False,0.0,0.5555555555555556,1.0,0.28888888888888886,9,4,2,2,2,3
048,LLaMA 3.3 70B,Role-Classify,medium,backward_3,True,1.0,1.0,1.0,1.0,8,0,3,3,3,3
051,LLaMA 3.3 70B,Role-Classify,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
057,LLaMA 3.3 70B,Role-Classify,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,3
059,LLaMA 3.3 70B,Role-Classify,easy,sort_4,True,1.0,1.0,0.4166666666666667,0.8541666666666666,8,0,5,12,12,5
060,LLaMA 3.3 70B,Role-Classify,easy,sort_4,False,0.0,0.0,0.0,0.0,8,8,0,0,0,5
061,LLaMA 3.3 70B,Role-Classify,easy,sort_4,True,1.0,1.0,1.0,1.0,8,0,1,1,1,1
063,LLaMA 3.3 70B,Role-Classify,medium,sort_4,True,1.0,1.0,0.2857142857142857,0.8214285714285714,8,0,6,21,21,6
073,LLaMA 3.3 70B,Role-Classify,easy,concat_2,True,1.0,1.0,1.0,1.0,11,0,2,2,2,2
074,LLaMA 3.3 70B,Role-Classify,easy,concat_2,True,1.0,1.0,1.0,1.0,8,0,2,2,2,2
077,LLaMA 3.3 70B,Role-Classify,easy,concat_2,True,1.0,1.0,1.0,1.0,7,0,2,2,2,2
082,LLaMA 3.3 70B,Role-Classify,medium,sort_3,True,1.0,1.0,0.22580645161290322,0.8064516129032258,6,0,7,31,31,7
085,LLaMA 3.3 70B,Role-Classify,easy,sort_3,True,1.0,1.0,1.0,1.0,6,0,2,2,2,2
088,LLaMA 3.3 70B,Role-Classify,medium,sort_3,False,0.0,0.0,0.5,0.075,6,6,1,2,2,7
090,LLaMA 3.3 70B,Role-Classify,medium,sort_3,False,0.0,0.0,0.75,0.11249999999999999,6,6,3,4,4,6
094,LLaMA 3.3 70B,Role-Classify,hard,backward_7,True,1.0,1.0,0.19444444444444445,0.7986111111111112,23,0,7,36,36,7
095,LLaMA 3.3 70B,Role-Classify,hard,backward_7,False,0.0,0.7894736842105263,1.0,0.34736842105263155,19,4,5,5,5,7
000,LLaMA 3.1 8B,CoT,medium,backward_5,True,1.0,1.0,0.625,0.90625,16,0,5,8,8,5
001,LLaMA 3.1 8B,CoT,medium,backward_5,False,0.0,0.7777777777777778,0.5,0.26944444444444443,18,4,4,8,8,5
002,LLaMA 3.1 8B,CoT,medium,backward_5,False,0.0,0.8181818181818181,0.21052631578947367,0.23612440191387557,11,2,4,19,19,5
005,LLaMA 3.1 8B,CoT,medium,backward_5,True,1.0,1.0,0.078125,0.76953125,16,0,5,64,64,5
010,LLaMA 3.1 8B,CoT,hard,backward_7,True,1.0,1.0,0.6363636363636364,0.9090909090909091,16,0,7,11,11,7
020,LLaMA 3.1 8B,CoT,hard,backward_7,True,1.0,1.0,0.2,0.8,23,0,7,35,35,7
022,LLaMA 3.1 8B,CoT,hard,backward_7,True,1.0,1.0,0.1320754716981132,0.7830188679245284,21,0,7,53,53,7
023,LLaMA 3.1 8B,CoT,hard,backward_7,False,0.0,0.8947368421052632,0.125,0.24243421052631578,19,2,7,56,56,7
024,LLaMA 3.1 8B,CoT,hard,backward_7,False,0.0,0.8095238095238095,0.4,0.2623809523809524,21,4,6,15,15,7
027,LLaMA 3.1 8B,CoT,hard,backward_7,False,0.0,0.34782608695652173,0.375,0.14320652173913043,23,15,3,8,8,7
032,LLaMA 3.1 8B,CoT,hard,backward_7,False,0.0,0.8,0.75,0.3125,20,4,6,8,8,7
036,LLaMA 3.1 8B,CoT,hard,backward_7,False,0.0,0.65,0.5,0.2375,20,7,5,10,10,7
038,LLaMA 3.1 8B,CoT,hard,backward_7,False,0.0,0.26315789473684215,1.0,0.21578947368421053,19,14,2,2,2,7
041,LLaMA 3.1 8B,CoT,hard,backward_7,True,1.0,1.0,0.4375,0.859375,21,0,7,16,16,7
045,LLaMA 3.1 8B,CoT,medium,backward_3,True,1.0,1.0,0.07692307692307693,0.7692307692307692,9,0,3,39,39,3
046,LLaMA 3.1 8B,CoT,medium,backward_3,True,1.0,1.0,0.25,0.8125,9,0,3,12,12,3
048,LLaMA 3.1 8B,CoT,medium,backward_3,True,1.0,1.0,1.0,1.0,8,0,3,3,3,3
051,LLaMA 3.1 8B,CoT,medium,backward_3,False,0.0,0.4444444444444444,0.5,0.18611111111111112,9,5,1,2,2,3
057,LLaMA 3.1 8B,CoT,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,3
059,LLaMA 3.1 8B,CoT,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,5
060,LLaMA 3.1 8B,CoT,easy,sort_4,False,0.0,0.0,0.5714285714285714,0.0857142857142857,8,8,4,7,7,5
061,LLaMA 3.1 8B,CoT,easy,sort_4,True,1.0,1.0,1.0,1.0,8,0,1,1,1,1
063,LLaMA 3.1 8B,CoT,medium,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,6
073,LLaMA 3.1 8B,CoT,easy,concat_2,True,1.0,1.0,1.0,1.0,11,0,2,2,2,2
074,LLaMA 3.1 8B,CoT,easy,concat_2,True,1.0,1.0,1.0,1.0,8,0,2,2,2,2
077,LLaMA 3.1 8B,CoT,easy,concat_2,True,1.0,1.0,1.0,1.0,7,0,2,2,2,2
082,LLaMA 3.1 8B,CoT,medium,sort_3,False,0.0,0.0,0.0,0.0,6,6,0,1,1,7
085,LLaMA 3.1 8B,CoT,easy,sort_3,False,0.0,0.0,0.0,0.0,6,6,0,2,2,2
088,LLaMA 3.1 8B,CoT,medium,sort_3,False,0.0,0.0,0.5,0.075,6,6,1,2,2,7
090,LLaMA 3.1 8B,CoT,medium,sort_3,False,0.0,0.0,0.5,0.075,6,6,1,2,2,6
094,LLaMA 3.1 8B,CoT,hard,backward_7,False,0.0,0.6521739130434783,0.3333333333333333,0.21304347826086956,23,8,5,15,15,7
095,LLaMA 3.1 8B,CoT,hard,backward_7,True,1.0,1.0,0.5384615384615384,0.8846153846153846,19,0,7,13,13,7
061,LLaMA 3.3 70B,Few-Shot,easy,sort_4,True,1.0,1.0,1.0,1.0,8,0,1,1,1,1
057,LLaMA 3.3 70B,Few-Shot,easy,sort_4,True,1.0,1.0,0.02654867256637168,0.756637168141593,8,0,3,113,113,3
074,LLaMA 3.3 70B,Few-Shot,easy,concat_2,True,1.0,1.0,1.0,1.0,8,0,2,2,2,2
073,LLaMA 3.3 70B,Few-Shot,easy,concat_2,True,1.0,1.0,1.0,1.0,11,0,2,2,2,2
085,LLaMA 3.3 70B,Few-Shot,easy,sort_3,True,1.0,1.0,1.0,1.0,6,0,2,2,2,2
060,LLaMA 3.3 70B,Few-Shot,easy,sort_4,True,1.0,1.0,0.11627906976744186,0.7790697674418605,8,0,5,43,43,5
077,LLaMA 3.3 70B,Few-Shot,easy,concat_2,True,1.0,1.0,1.0,1.0,7,0,2,2,2,2
059,LLaMA 3.3 70B,Few-Shot,easy,sort_4,True,1.0,1.0,0.625,0.90625,8,0,5,8,8,5
082,LLaMA 3.3 70B,Few-Shot,medium,sort_3,True,1.0,1.0,0.08974358974358974,0.7724358974358974,6,0,7,78,78,7
005,LLaMA 3.3 70B,Few-Shot,medium,backward_5,True,1.0,1.0,1.0,1.0,16,0,5,5,5,5
088,LLaMA 3.3 70B,Few-Shot,medium,sort_3,False,0.0,0.0,0.75,0.11249999999999999,6,6,3,4,4,7
063,LLaMA 3.3 70B,Few-Shot,medium,sort_4,True,1.0,1.0,0.08108108108108109,0.7702702702702703,8,0,6,74,74,6
002,LLaMA 3.3 70B,Few-Shot,medium,backward_5,True,1.0,1.0,1.0,1.0,11,0,5,5,5,5
001,LLaMA 3.3 70B,Few-Shot,medium,backward_5,True,1.0,1.0,1.0,1.0,18,0,5,5,5,5
090,LLaMA 3.3 70B,Few-Shot,medium,sort_3,False,0.0,0.0,0.8,0.12,6,6,4,5,5,6
045,LLaMA 3.3 70B,Few-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
046,LLaMA 3.3 70B,Few-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
048,LLaMA 3.3 70B,Few-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,8,0,3,3,3,3
051,LLaMA 3.3 70B,Few-Shot,medium,backward_3,True,1.0,1.0,0.10344827586206896,0.7758620689655172,9,0,3,29,29,3
000,LLaMA 3.3 70B,Few-Shot,medium,backward_5,False,0.0,0.875,1.0,0.36875,16,2,4,4,4,5
095,LLaMA 3.3 70B,Few-Shot,hard,backward_7,False,0.0,0.6842105263157895,1.0,0.32105263157894737,19,6,5,5,5,7
022,LLaMA 3.3 70B,Few-Shot,hard,backward_7,False,0.0,0.9047619047619048,1.0,0.3761904761904762,21,2,6,6,6,7
094,LLaMA 3.3 70B,Few-Shot,hard,backward_7,True,1.0,1.0,0.16666666666666666,0.7916666666666667,23,0,7,42,42,7
036,LLaMA 3.3 70B,Few-Shot,hard,backward_7,True,1.0,1.0,0.125,0.78125,20,0,7,56,56,7
024,LLaMA 3.3 70B,Few-Shot,hard,backward_7,True,1.0,1.0,0.1111111111111111,0.7777777777777778,21,0,7,63,63,7
038,LLaMA 3.3 70B,Few-Shot,hard,backward_7,False,0.0,0.4736842105263158,0.75,0.23092105263157894,19,10,3,4,4,7
027,LLaMA 3.3 70B,Few-Shot,hard,backward_7,True,1.0,1.0,0.09210526315789473,0.7730263157894737,23,0,7,76,76,7
010,LLaMA 3.3 70B,Few-Shot,hard,backward_7,True,1.0,1.0,0.875,0.96875,16,0,7,8,8,7
020,LLaMA 3.3 70B,Few-Shot,hard,backward_7,False,0.0,0.0,0.0,0.0,23,23,0,0,0,7
032,LLaMA 3.3 70B,Few-Shot,hard,backward_7,False,0.0,0.75,0.8333333333333334,0.3125,20,5,5,6,6,7
023,LLaMA 3.3 70B,Few-Shot,hard,backward_7,False,0.0,0.0,0.0,0.0,19,19,0,0,0,7
041,LLaMA 3.3 70B,Few-Shot,hard,backward_7,False,0.0,0.9047619047619048,0.15789473684210525,0.24987468671679197,21,2,6,38,38,7
061,LLaMA 3.3 70B,Zero-Shot,easy,sort_4,True,1.0,1.0,1.0,1.0,8,0,1,1,1,1
057,LLaMA 3.3 70B,Zero-Shot,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,3
074,LLaMA 3.3 70B,Zero-Shot,easy,concat_2,True,1.0,1.0,1.0,1.0,8,0,2,2,2,2
073,LLaMA 3.3 70B,Zero-Shot,easy,concat_2,True,1.0,1.0,1.0,1.0,11,0,2,2,2,2
085,LLaMA 3.3 70B,Zero-Shot,easy,sort_3,True,1.0,1.0,0.15384615384615385,0.7884615384615385,6,0,2,13,13,2
060,LLaMA 3.3 70B,Zero-Shot,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,5
077,LLaMA 3.3 70B,Zero-Shot,easy,concat_2,True,1.0,1.0,1.0,1.0,7,0,2,2,2,2
059,LLaMA 3.3 70B,Zero-Shot,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,5
082,LLaMA 3.3 70B,Zero-Shot,medium,sort_3,False,0.0,0.0,0.5,0.075,6,6,1,2,2,7
005,LLaMA 3.3 70B,Zero-Shot,medium,backward_5,True,1.0,1.0,1.0,1.0,16,0,5,5,5,5
088,LLaMA 3.3 70B,Zero-Shot,medium,sort_3,False,0.0,0.0,0.5,0.075,6,6,1,2,2,7
063,LLaMA 3.3 70B,Zero-Shot,medium,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,6
002,LLaMA 3.3 70B,Zero-Shot,medium,backward_5,False,0.0,0.8181818181818181,0.8,0.3245454545454545,11,2,4,5,5,5
001,LLaMA 3.3 70B,Zero-Shot,medium,backward_5,False,0.0,0.7777777777777778,1.0,0.34444444444444444,18,4,4,4,4,5
090,LLaMA 3.3 70B,Zero-Shot,medium,sort_3,False,0.0,0.0,0.5,0.075,6,6,1,2,2,6
045,LLaMA 3.3 70B,Zero-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
046,LLaMA 3.3 70B,Zero-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
048,LLaMA 3.3 70B,Zero-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,8,0,3,3,3,3
051,LLaMA 3.3 70B,Zero-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
000,LLaMA 3.3 70B,Zero-Shot,medium,backward_5,True,1.0,1.0,0.8333333333333334,0.9583333333333334,16,0,5,6,6,5
095,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.8947368421052632,1.0,0.3736842105263158,19,2,6,6,6,7
022,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.6666666666666667,0.7142857142857143,0.27380952380952384,21,7,5,7,7,7
094,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.5652173913043479,0.8,0.26130434782608697,23,10,4,5,5,7
036,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.8,0.24,0.23600000000000002,20,4,6,25,25,7
024,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.7142857142857143,0.8571428571428571,0.30714285714285716,21,6,6,7,7,7
038,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.6842105263157895,0.8333333333333334,0.29605263157894735,19,6,5,6,6,7
027,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.8695652173913043,1.0,0.3673913043478261,23,3,6,6,6,7
010,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,True,1.0,1.0,0.7777777777777778,0.9444444444444444,16,0,7,9,9,7
020,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,True,1.0,1.0,1.0,1.0,23,0,7,7,7,7
032,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,True,1.0,1.0,0.1590909090909091,0.7897727272727272,20,0,7,44,44,7
023,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.5263157894736843,0.75,0.24407894736842106,19,9,3,4,4,7
041,LLaMA 3.3 70B,Zero-Shot,hard,backward_7,False,0.0,0.8571428571428572,0.8571428571428571,0.34285714285714286,21,3,6,7,7,7
000,LLaMA 4 Scout,Self-Verify,medium,backward_5,False,0.0,0.875,1.0,0.36875,16,2,4,4,4,5
001,LLaMA 4 Scout,Self-Verify,medium,backward_5,True,1.0,1.0,1.0,1.0,18,0,5,5,5,5
002,LLaMA 4 Scout,Self-Verify,medium,backward_5,False,0.0,0.6363636363636364,1.0,0.3090909090909091,11,4,3,3,3,5
005,LLaMA 4 Scout,Self-Verify,medium,backward_5,True,1.0,1.0,0.7142857142857143,0.9285714285714285,16,0,5,7,7,5
010,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.3125,0.6666666666666666,0.17812499999999998,16,11,2,3,3,7
020,LLaMA 4 Scout,Self-Verify,hard,backward_7,True,1.0,1.0,0.7777777777777778,0.9444444444444444,23,0,7,9,9,7
022,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.6190476190476191,1.0,0.3047619047619048,21,8,4,4,4,7
023,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.6842105263157895,1.0,0.32105263157894737,19,6,4,4,4,7
024,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.5714285714285714,0.8,0.26285714285714284,21,9,4,5,5,7
027,LLaMA 4 Scout,Self-Verify,hard,backward_7,True,1.0,1.0,0.7777777777777778,0.9444444444444444,23,0,7,9,9,7
032,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.65,1.0,0.3125,20,7,5,5,5,7
036,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.7,1.0,0.32499999999999996,20,6,5,5,5,7
038,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.6842105263157895,1.0,0.32105263157894737,19,6,5,5,5,7
041,LLaMA 4 Scout,Self-Verify,hard,backward_7,True,1.0,1.0,0.7777777777777778,0.9444444444444444,21,0,7,9,9,7
045,LLaMA 4 Scout,Self-Verify,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
046,LLaMA 4 Scout,Self-Verify,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
048,LLaMA 4 Scout,Self-Verify,medium,backward_3,False,0.0,0.75,1.0,0.3375,8,2,2,2,2,3
051,LLaMA 4 Scout,Self-Verify,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
057,LLaMA 4 Scout,Self-Verify,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,3
059,LLaMA 4 Scout,Self-Verify,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,5
060,LLaMA 4 Scout,Self-Verify,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,5
061,LLaMA 4 Scout,Self-Verify,easy,sort_4,True,1.0,1.0,1.0,1.0,8,0,1,1,1,1
063,LLaMA 4 Scout,Self-Verify,medium,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,6
073,LLaMA 4 Scout,Self-Verify,easy,concat_2,True,1.0,1.0,1.0,1.0,11,0,2,2,2,2
074,LLaMA 4 Scout,Self-Verify,easy,concat_2,True,1.0,1.0,1.0,1.0,8,0,2,2,2,2
077,LLaMA 4 Scout,Self-Verify,easy,concat_2,True,1.0,1.0,1.0,1.0,7,0,2,2,2,2
082,LLaMA 4 Scout,Self-Verify,medium,sort_3,False,0.0,0.0,0.6666666666666666,0.09999999999999999,6,6,2,3,3,7
085,LLaMA 4 Scout,Self-Verify,easy,sort_3,True,1.0,1.0,0.6666666666666666,0.9166666666666666,6,0,2,3,3,2
088,LLaMA 4 Scout,Self-Verify,medium,sort_3,False,0.0,0.0,0.6666666666666666,0.09999999999999999,6,6,2,3,3,7
090,LLaMA 4 Scout,Self-Verify,medium,sort_3,False,0.0,0.0,0.6666666666666666,0.09999999999999999,6,6,2,3,3,6
094,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.6956521739130435,1.0,0.3239130434782609,23,7,5,5,5,7
095,LLaMA 4 Scout,Self-Verify,hard,backward_7,False,0.0,0.7894736842105263,1.0,0.34736842105263155,19,4,5,5,5,7
000,LLaMA 4 Scout,Zero-Shot,medium,backward_5,False,0.0,0.75,1.0,0.3375,16,4,4,4,4,5
001,LLaMA 4 Scout,Zero-Shot,medium,backward_5,True,1.0,1.0,1.0,1.0,18,0,5,5,5,5
002,LLaMA 4 Scout,Zero-Shot,medium,backward_5,True,1.0,1.0,0.09259259259259259,0.7731481481481481,11,0,5,54,54,5
005,LLaMA 4 Scout,Zero-Shot,medium,backward_5,False,0.0,0.6875,1.0,0.321875,16,5,3,3,3,5
010,LLaMA 4 Scout,Zero-Shot,hard,backward_7,False,0.0,0.875,1.0,0.36875,16,2,6,6,6,7
020,LLaMA 4 Scout,Zero-Shot,hard,backward_7,True,1.0,1.0,0.10294117647058823,0.775735294117647,23,0,7,68,68,7
022,LLaMA 4 Scout,Zero-Shot,hard,backward_7,False,0.0,0.7142857142857143,0.7142857142857143,0.2857142857142857,21,6,5,7,7,7
023,LLaMA 4 Scout,Zero-Shot,hard,backward_7,False,0.0,0.631578947368421,0.8,0.27789473684210525,19,7,4,5,5,7
024,LLaMA 4 Scout,Zero-Shot,hard,backward_7,False,0.0,0.9047619047619048,1.0,0.3761904761904762,21,2,6,6,6,7
027,LLaMA 4 Scout,Zero-Shot,hard,backward_7,True,1.0,1.0,0.109375,0.77734375,23,0,7,64,64,7
032,LLaMA 4 Scout,Zero-Shot,hard,backward_7,True,1.0,1.0,1.0,1.0,20,0,7,7,7,7
036,LLaMA 4 Scout,Zero-Shot,hard,backward_7,True,1.0,1.0,1.0,1.0,20,0,7,7,7,7
038,LLaMA 4 Scout,Zero-Shot,hard,backward_7,False,0.0,0.8421052631578947,1.0,0.3605263157894737,19,3,6,6,6,7
041,LLaMA 4 Scout,Zero-Shot,hard,backward_7,False,0.0,0.7142857142857143,1.0,0.32857142857142857,21,6,5,5,5,7
045,LLaMA 4 Scout,Zero-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
046,LLaMA 4 Scout,Zero-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
048,LLaMA 4 Scout,Zero-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,8,0,3,3,3,3
051,LLaMA 4 Scout,Zero-Shot,medium,backward_3,True,1.0,1.0,1.0,1.0,9,0,3,3,3,3
057,LLaMA 4 Scout,Zero-Shot,easy,sort_4,True,1.0,1.0,1.0,1.0,8,0,3,3,3,3
059,LLaMA 4 Scout,Zero-Shot,easy,sort_4,False,0.0,0.0,0.6666666666666666,0.09999999999999999,8,8,2,3,3,5
060,LLaMA 4 Scout,Zero-Shot,easy,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,5
061,LLaMA 4 Scout,Zero-Shot,easy,sort_4,True,1.0,1.0,1.0,1.0,8,0,1,1,1,1
