model,prompt_type,problem_id,is_correct,error_type,response_time,difficulty,generator,model_display,prompt_display
llama-3.3-70b,zero_shot,051,True,,3.543958902359009,medium,backward_3,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,000,False,invalid_solution,3.602318048477173,medium,backward_5,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,095,False,invalid_solution,3.146146059036255,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,022,False,invalid_solution,3.115184783935547,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,094,False,invalid_solution,3.529805898666382,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,036,False,invalid_solution,2.4254698753356934,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,024,False,invalid_solution,3.64496111869812,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,038,False,invalid_solution,2.0591421127319336,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,027,False,invalid_solution,3.225332021713257,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,010,False,invalid_solution,2.8228771686553955,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,020,True,,2.134690999984741,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,032,False,invalid_solution,5.159296989440918,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,023,False,invalid_solution,3.648242950439453,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,041,False,invalid_solution,2.6724050045013428,hard,backward_7,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,few_shot,061,True,,2.105435848236084,easy,sort_4,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,057,False,invalid_solution,3.40401291847229,easy,sort_4,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,074,True,,1.6368281841278076,easy,concat_2,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,073,True,,3.6680619716644287,easy,concat_2,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,085,True,,2.474010944366455,easy,sort_3,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,060,False,invalid_solution,5.8897998332977295,easy,sort_4,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,077,True,,0.5986959934234619,easy,concat_2,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,059,False,invalid_solution,3.284666061401367,easy,sort_4,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,082,False,invalid_solution,65.55710005760193,medium,sort_3,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,005,True,,2.785737991333008,medium,backward_5,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,088,False,invalid_solution,1.0270090103149414,medium,sort_3,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,063,False,invalid_solution,5.3013269901275635,medium,sort_4,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,002,True,,1.0174882411956787,medium,backward_5,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,001,True,,4.662785053253174,medium,backward_5,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,090,False,invalid_solution,1.1422231197357178,medium,sort_3,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,045,True,,2.954446315765381,medium,backward_3,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,046,True,,3.214261054992676,medium,backward_3,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,048,True,,2.7242271900177,medium,backward_3,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,051,False,invalid_solution,5.812517881393433,medium,backward_3,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,000,False,invalid_solution,3.2111432552337646,medium,backward_5,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,095,False,invalid_solution,2.6391587257385254,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,022,False,invalid_solution,3.172578811645508,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,094,False,invalid_solution,63.51826596260071,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,036,False,invalid_solution,2.9189341068267822,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,024,False,invalid_solution,2.7088217735290527,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,038,False,invalid_solution,2.744223117828369,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,027,False,invalid_solution,2.8626928329467773,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,010,False,invalid_solution,1.9226188659667969,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,020,False,api_error,602.5764770507812,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,032,False,invalid_solution,153.32406306266785,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,023,False,api_error,600.6885771751404,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,few_shot,041,False,invalid_solution,273.6426103115082,hard,backward_7,LLaMA 3.3 70B,Few-Shot
llama-3.3-70b,cot,061,True,,271.6130349636078,easy,sort_4,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,057,False,invalid_solution,273.862389087677,easy,sort_4,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,074,True,,270.8620276451111,easy,concat_2,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,073,True,,152.9949028491974,easy,concat_2,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,085,False,invalid_solution,274.5513119697571,easy,sort_3,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,060,False,invalid_solution,274.2129809856415,easy,sort_4,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,077,True,,271.1396749019623,easy,concat_2,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,059,False,invalid_solution,273.460129737854,easy,sort_4,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,082,False,invalid_solution,274.7265627384186,medium,sort_3,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,005,False,invalid_solution,273.15487408638,medium,backward_5,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,088,False,invalid_solution,271.83821725845337,medium,sort_3,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,063,False,invalid_solution,274.12988018989563,medium,sort_4,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,002,False,invalid_solution,273.94747710227966,medium,backward_5,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,001,False,invalid_solution,274.03123903274536,medium,backward_5,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,090,False,invalid_solution,273.63983488082886,medium,sort_3,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,045,True,,271.22981572151184,medium,backward_3,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,046,False,invalid_solution,270.88748002052307,medium,backward_3,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,048,True,,271.49993872642517,medium,backward_3,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,051,True,,271.4597098827362,medium,backward_3,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,000,True,,273.0898349285126,medium,backward_5,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,095,False,invalid_solution,273.28103590011597,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,022,False,invalid_solution,274.05857014656067,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,094,False,invalid_solution,274.0631878376007,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,036,False,invalid_solution,274.4896261692047,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,024,False,invalid_solution,274.34887433052063,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,038,False,invalid_solution,271.8559498786926,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,027,False,invalid_solution,274.345388174057,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,010,False,invalid_solution,273.82403588294983,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,020,True,,271.9660882949829,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,032,False,invalid_solution,271.9455711841583,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,023,False,invalid_solution,273.1924819946289,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,cot,041,True,,271.81064105033875,hard,backward_7,LLaMA 3.3 70B,CoT
llama-3.3-70b,self_verify,000,False,invalid_solution,273.55960488319397,medium,backward_5,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,001,False,invalid_solution,422.17338705062866,medium,backward_5,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,002,True,,421.03460669517517,medium,backward_5,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,005,True,,422.0969409942627,medium,backward_5,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,010,False,invalid_solution,423.36930298805237,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,020,False,invalid_solution,423.55374789237976,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,022,False,invalid_solution,422.61399602890015,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,023,False,invalid_solution,421.6149618625641,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,024,False,invalid_solution,422.6305480003357,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,027,False,invalid_solution,422.1594889163971,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,032,False,invalid_solution,423.7493190765381,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,036,False,invalid_solution,423.3904981613159,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,038,False,invalid_solution,423.9794731140137,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,041,False,invalid_solution,421.1885449886322,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,045,True,,270.893700838089,medium,backward_3,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,046,True,,271.74632692337036,medium,backward_3,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,048,True,,270.7617337703705,medium,backward_3,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,051,False,invalid_solution,270.9469368457794,medium,backward_3,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,057,False,invalid_solution,274.0204620361328,easy,sort_4,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,059,False,invalid_solution,270.8594288825989,easy,sort_4,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,060,False,invalid_solution,273.60646080970764,easy,sort_4,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,061,True,,270.7198989391327,easy,sort_4,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,063,False,invalid_solution,273.3960757255554,medium,sort_4,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,073,True,,270.72988200187683,easy,concat_2,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,074,True,,270.8171329498291,easy,concat_2,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,077,True,,270.76127791404724,easy,concat_2,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,082,False,invalid_solution,271.3218491077423,medium,sort_3,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,085,True,,274.1611080169678,easy,sort_3,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,088,False,invalid_solution,270.90959095954895,medium,sort_3,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,090,False,invalid_solution,271.3144688606262,medium,sort_3,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,094,False,invalid_solution,423.09190034866333,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,self_verify,095,False,invalid_solution,423.8851022720337,hard,backward_7,LLaMA 3.3 70B,Self-Verify
llama-3.3-70b,role_classify,000,False,invalid_solution,423.97081232070923,medium,backward_5,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,001,False,invalid_solution,421.84557485580444,medium,backward_5,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,002,False,invalid_solution,421.5918228626251,medium,backward_5,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,005,False,invalid_solution,423.6500668525696,medium,backward_5,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,010,True,,421.6597719192505,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,020,False,invalid_solution,423.95813512802124,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,022,False,invalid_solution,423.5414307117462,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,023,False,invalid_solution,421.9633140563965,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,024,False,invalid_solution,422.30762124061584,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,027,False,invalid_solution,423.2690131664276,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,032,False,invalid_solution,424.0113561153412,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,036,False,invalid_solution,423.87862491607666,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,038,False,invalid_solution,423.1132342815399,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,041,False,invalid_solution,423.12711930274963,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,045,True,,421.3694441318512,medium,backward_3,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,046,False,invalid_solution,422.675745010376,medium,backward_3,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,048,True,,421.5673577785492,medium,backward_3,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,051,True,,421.63084077835083,medium,backward_3,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,057,False,invalid_solution,422.3112072944641,easy,sort_4,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,059,False,invalid_solution,422.59301114082336,easy,sort_4,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,060,False,api_error,67.73321080207825,easy,sort_4,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,061,True,,271.2999267578125,easy,sort_4,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,063,False,invalid_solution,423.02305793762207,medium,sort_4,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,073,True,,426.047571182251,easy,concat_2,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,074,True,,423.70829701423645,easy,concat_2,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,077,True,,426.7715549468994,easy,concat_2,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,082,False,invalid_solution,424.5212631225586,medium,sort_3,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,085,True,,421.2239348888397,easy,sort_3,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,088,False,invalid_solution,421.48629808425903,medium,sort_3,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,090,False,invalid_solution,421.37096667289734,medium,sort_3,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,094,False,invalid_solution,423.88976097106934,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-3.3-70b,role_classify,095,False,invalid_solution,421.68602323532104,hard,backward_7,LLaMA 3.3 70B,Role-Classify
llama-4-scout,zero_shot,000,False,invalid_solution,2.2051451206207275,medium,backward_5,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,001,True,,2.41790509223938,medium,backward_5,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,002,False,invalid_solution,3.872654914855957,medium,backward_5,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,005,False,invalid_solution,2.785296678543091,medium,backward_5,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,010,False,invalid_solution,3.2310006618499756,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,020,False,invalid_solution,2.942718267440796,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,022,False,invalid_solution,2.8605661392211914,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,023,False,invalid_solution,2.8535900115966797,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,024,False,invalid_solution,2.6440980434417725,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,027,False,invalid_solution,3.695891857147217,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,032,True,,2.846445083618164,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,036,True,,2.7553858757019043,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,038,False,invalid_solution,3.132873058319092,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,041,False,invalid_solution,3.1247968673706055,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,045,True,,2.1574888229370117,medium,backward_3,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,046,True,,3.9691290855407715,medium,backward_3,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,048,True,,1.668712854385376,medium,backward_3,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,051,True,,3.3148319721221924,medium,backward_3,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,057,True,,4.561928987503052,easy,sort_4,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,059,False,invalid_solution,2.1976158618927,easy,sort_4,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,060,False,invalid_solution,2.462412118911743,easy,sort_4,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,061,True,,2.5859603881835938,easy,sort_4,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,063,False,invalid_solution,4.060694932937622,medium,sort_4,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,073,True,,2.2998108863830566,easy,concat_2,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,074,False,invalid_solution,3.087023973464966,easy,concat_2,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,077,True,,2.767241954803467,easy,concat_2,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,082,False,invalid_solution,3.663562059402466,medium,sort_3,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,085,True,,3.338510751724243,easy,sort_3,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,088,False,invalid_solution,2.999034881591797,medium,sort_3,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,090,False,invalid_solution,2.59609317779541,medium,sort_3,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,094,False,invalid_solution,3.4372570514678955,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,zero_shot,095,False,invalid_solution,2.9950759410858154,hard,backward_7,LLaMA 4 Scout,Zero-Shot
llama-4-scout,few_shot,000,True,,2.968679904937744,medium,backward_5,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,001,False,invalid_solution,2.8220632076263428,medium,backward_5,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,002,True,,2.111851930618286,medium,backward_5,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,005,True,,3.0914978981018066,medium,backward_5,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,010,False,invalid_solution,3.52528977394104,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,020,False,invalid_solution,3.105036735534668,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,022,False,invalid_solution,2.8422651290893555,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,023,False,invalid_solution,3.155245780944824,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,024,False,invalid_solution,3.0511748790740967,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,027,True,,2.6255362033843994,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,032,False,invalid_solution,2.793229103088379,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,036,False,invalid_solution,3.37068510055542,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,038,False,invalid_solution,3.511575937271118,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,041,False,invalid_solution,2.348134994506836,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,045,True,,2.206914186477661,medium,backward_3,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,046,False,invalid_solution,4.048017978668213,medium,backward_3,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,048,True,,1.9107410907745361,medium,backward_3,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,051,True,,3.2096171379089355,medium,backward_3,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,057,True,,4.284743070602417,easy,sort_4,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,059,False,invalid_solution,2.3356428146362305,easy,sort_4,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,060,True,,3.265015125274658,easy,sort_4,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,061,True,,1.8979833126068115,easy,sort_4,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,063,False,invalid_solution,3.1106698513031006,medium,sort_4,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,073,True,,2.760434150695801,easy,concat_2,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,074,True,,3.279848098754883,easy,concat_2,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,077,True,,3.1220836639404297,easy,concat_2,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,082,False,invalid_solution,3.653470039367676,medium,sort_3,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,085,False,invalid_solution,3.1822421550750732,easy,sort_3,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,088,False,invalid_solution,2.302884101867676,medium,sort_3,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,090,False,invalid_solution,3.470019817352295,medium,sort_3,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,094,True,,2.9066927433013916,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,few_shot,095,False,invalid_solution,3.8740041255950928,hard,backward_7,LLaMA 4 Scout,Few-Shot
llama-4-scout,cot,000,False,invalid_solution,2.356592893600464,medium,backward_5,LLaMA 4 Scout,CoT
llama-4-scout,cot,001,True,,3.1705689430236816,medium,backward_5,LLaMA 4 Scout,CoT
llama-4-scout,cot,002,False,invalid_solution,1.8040108680725098,medium,backward_5,LLaMA 4 Scout,CoT
llama-4-scout,cot,005,True,,3.026693105697632,medium,backward_5,LLaMA 4 Scout,CoT
llama-4-scout,cot,010,True,,3.278301239013672,hard,backward_7,LLaMA 4 Scout,CoT
llama-4-scout,cot,020,False,invalid_solution,2.9166719913482666,hard,backward_7,LLaMA 4 Scout,CoT
llama-4-scout,cot,022,False,invalid_solution,3.2911899089813232,hard,backward_7,LLaMA 4 Scout,CoT
llama-4-scout,cot,023,False,invalid_solution,2.6335883140563965,hard,backward_7,LLaMA 4 Scout,CoT
llama-4-scout,cot,024,False,invalid_solution,3.8129658699035645,hard,backward_7,LLaMA 4 Scout,CoT
llama-4-scout,cot,027,False,invalid_solution,2.948931932449341,hard,backward_7,LLaMA 4 Scout,CoT
llama-4-scout,cot,032,True,,2.0140368938446045,hard,backward_7,LLaMA 4 Scout,CoT
llama-4-scout,cot,036,False,invalid_solution,4.365541934967041,hard,backward_7,LLaMA 4 Scout,CoT
